"CODE","SNOMED_conceptId_description","PrimaryCode"
"315280000","Asian - ethnic group (ethnic group)","L"
"186044009","South East Asian (ethnic group)","L"
"94141000000107","Sikh - ethnic category 2001 census (finding)","L"
"91191002","Oraons (ethnic group)","L"
"12556008","Tamils (ethnic group)","L"
"44460002","Turks (ethnic group)","L"
"27683006","Ainu (ethnic group)","L"
"976881000000101","Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census ","L"
"978211000000108","Asian or Asian Scottish or Asian British: any other Asian group - Scotland ethnic category 2011 census (finding)","L"
"24812003","Mongol (ethnic group)","L"
"92771000000105","Filipino - ethnic category 2001 census (finding)","L"
"270465005","E Afric Asian/Indo-Carib (NMO) (ethnic group)","L"
"414551003","Japanese (ethnic group)","L"
"704385002","Punjabi (ethnic group)","L"
"704387005","Kadazan (ethnic group)","L"
"275589002","Black East African Asian (ethnic group)","L"
"312859007","Vietnamese (ethnic group)","L"
"76768002","Filipinos (ethnic group)","L"
"20449009","Javanese (ethnic group)","L"
"275597009","Indo-Caribbean (NMO) (ethnic group)","L"
"81846005","Naiars (ethnic group)","L"
"90348007","Ghashgai (ethnic group)","L"
"47250000","Bruneians (ethnic group)","L"
"270462008","Black East African Asian/Indo-Caribbean (ethnic group)","L"
"976871000000103","Asian or Asian British: any other Asian background - England and Wales ethnic category 2011 census (finding)","L"
"92431000000100","White and Black African - ethnic category 2001 census (finding)","E"
"977411000000108","Mixed multiple ethnic groups: White and Black African - Northern Ireland ethnic category 2011 census (finding)","E"
"977421000000102","Mixed multiple ethnic groups: white and black African - Northern Ireland ethnic category 2011 census ","E"
"315635008","Black African and White (ethnic group)","E"
"413466005","Afro-Caucasian (ethnic group)","E"
"976731000000106","Mixed multiple ethnic groups: White and Black African - England and Wales ethnic category 2011 census (finding)","E"
"976741000000102","Mixed multiple ethnic groups: white and black African - England and Wales ethnic category 2011 census ","E"
"92581000000100","Black and Asian - ethnic category 2001 census (finding)","G"
"186020007","Other ethnic, Black/White origin (ethnic group)","G"
"92451000000107","Other Mixed background - ethnic category 2001 census (finding)","G"
"186000006","Other Black - Black/Asian orig (ethnic group)","G"
"414752008","Mixed racial group (racial group)","G"
"186023009","Other ethnic, other mixed origin (ethnic group)","G"
"977561000000109","Mixed multiple ethnic groups: any other Mixed or Multiple ethnic background - Northern Ireland ethnic category 2011 census ","G"
"185999009","Other Black - Black/White orig (ethnic group)","G"
"186019001","Other ethnic, mixed origin (ethnic group)","G"
"92631000000103","Mixed Asian - ethnic category 2001 census (finding)","G"
"977551000000106","Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - Northern Ireland ethnic category 2011 census (finding)","G"
"978051000000102","Mixed or multiple ethnic groups: any Mixed or multiple ethnic group - Scotland ethnic category 2011 census (finding)","G"
"186022004","Other ethnic, mixed white origin (ethnic group)","G"
"92591000000103","Black and Chinese - ethnic category 2001 census (finding)","G"
"185998001","Black - other, mixed (ethnic group)","G"
"976781000000105","Mixed multiple ethnic groups: any other Mixed or  Multiple ethnic background - England and Wales ethnic category 2011 census ","G"
"978061000000104","Mixed or multiple ethnic groups: any Mixed or Multiple ethnic group - Scotland ethnic category 2011 census ","G"
"92621000000100","Other Mixed or Mixed unspecified - ethnic category 2001 census (finding)","G"
"110771000000104","Black and White - ethnic category 2001 census (finding)","G"
"976771000000108","Mixed multiple ethnic groups: any other Mixed or multiple ethnic background - England and Wales ethnic category 2011 census (finding)","G"
"92721000000106","Mixed Black - ethnic category 2001 census (finding)","G"
"315239007","Mixed ethnic census group (ethnic group)","G"
"92441000000109","White and Asian - ethnic category 2001 census (finding)","F"
"976761000000101","Mixed multiple ethnic groups: white and Asian - England and Wales ethnic category 2011 census ","F"
"977431000000100","Mixed multiple ethnic groups: White and Asian - Northern Ireland ethnic category 2011 census (finding)","F"
"977441000000109","Mixed multiple ethnic groups: white and Asian - Northern Ireland ethnic category 2011 census ","F"
"186021006","Other ethnic, Asian/White origin (ethnic group)","F"
"976751000000104","Mixed multiple ethnic groups: White and Asian - England and Wales ethnic category 2011 census (finding)","F"
"415794004","Unknown racial group (racial group)","Z"
"1024701000000100","Ethnicity not stated (finding)","Z"
"415226007","Race not stated (racial group)","Z"
"92531000000104","Ethnic category not stated - 2001 census (finding)","Z"
"763726001","Refusal by patient to provide information about ethnic group (situation)","Z"
"312861003","Ethnic group not recorded (finding)","Z"
"312860002","Ethnic group not given - patient refused (finding)","Z"
"275587000","Black Arab (ethnic group)","P"
"275588005","Black Iranian (ethnic group)","P"
"92741000000104","Other Black or Black unspecified - ethnic category 2001 census (finding)","P"
"977831000000102","Black or African or Caribbean or Black British: other Black or African or Caribbean background - Northern Ireland ethnic category 2011 census (finding)","P"
"15086000","African American (ethnic group)","P"
"977841000000106","Black or African or Caribbean or Black British: other black or African or Caribbean background - Northern Ireland ethnic category 2011 census ","P"
"315279003","Other black ethnic group (ethnic group)","P"
"92501000000105","Other Black background - ethnic category 2001 census (finding)","P"
"978371000000108","Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census ","P"
"978361000000101","Caribbean or Black: any other Black or Caribbean group - Scotland ethnic category 2011 census (finding)","P"
"976931000000109","Black or African or Caribbean or Black British: other Black or African or Caribbean background - England and Wales ethnic category 2011 census (finding)","P"
"978251000000107","African: any other African - Scotland ethnic category 2011 census (finding)","P"
"110791000000100","Black British - ethnic category 2001 census (finding)","P"
"521000220104","Black Irish (ethnic group)","P"
"315240009","Black - ethnic group (ethnic group)","P"
"270461001","Black N African/Arab/Iranian (ethnic group)","P"
"978261000000105","African: any other African - Scotland ethnic category 2011 census ","P"
"976941000000100","Black or African or Caribbean or Black British : other black or African or Caribbean background - England and Wales ethnic category 2011 census ","P"
"185990008","Black British (ethnic group)","P"
"275586009","Black North African (ethnic group)","P"
"185989004","Black, other, non-mixed origin (ethnic group)","P"
"977731000000108","Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census (finding)","K"
"186003008","Bangladeshi (ethnic group)","K"
"978171000000105","Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Bangladeshi British - Scotland ethnic category 2011 census (finding)","K"
"977741000000104","Asian or Asian British: Bangladeshi - Northern Ireland ethnic category 2011 census ","K"
"978181000000107","Asian or Asian Scottish or Asian British: Bangladeshi, Bangladeshi Scottish or Banagaldeshi British - Scotland ethnic category 2011 census ","K"
"976841000000109","Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census ","K"
"976831000000100","Asian or Asian British: Bangladeshi - England and Wales ethnic category 2011 census (finding)","K"
"92471000000103","Bangladeshi or British Bangladeshi - ethnic category 2001 census (finding)","K"
"978191000000109","Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census (finding)","R"
"976861000000105","Asian or Asian British: Chinese - England and Wales ethnic category 2011 census ","R"
"976851000000107","Asian or Asian British: Chinese - England and Wales ethnic category 2011 census (finding)","R"
"92511000000107","Chinese - ethnic category 2001 census (finding)","R"
"33897005","Chinese (ethnic group)","R"
"977751000000101","Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census (finding)","R"
"978201000000106","Asian or Asian Scottish or Asian British: Chinese - Scotland ethnic category 2011 census ","R"
"977761000000103","Asian or Asian British: Chinese - Northern Ireland ethnic category 2011 census ","R"
"29343004","Bulgarian (ethnic group)","C"
"18583004","Estonians (ethnic group)","C"
"93921000000101","Ulster Scots - ethnic category 2001 census (finding)","C"
"94051000000109","Other White or White unspecified - ethnic category 2001 census (finding)","C"
"275599007","Greek (NMO) (ethnic group)","C"
"76574004","Swiss (ethnic group)","C"
"64693008","Hungarian (ethnic group)","C"
"72809004","Icelanders (ethnic group)","C"
"94041000000106","Other White European or European unspecified or Mixed European - ethnic category 2001 census (finding)","C"
"31637002","Italians (ethnic group)","C"
"9533000","Dutch (ethnic group)","C"
"733446001","Canadian (ethnic group)","C"
"978031000000109","White: any other White ethnic group - Scotland ethnic category 2011 census (finding)","C"
"94011000000105","Other republics which made up the former Yugoslavia - ethnic category 2001 census (finding)","C"
"68486007","Austrians (ethnic group)","C"
"14176005","Danes (ethnic group)","C"
"93931000000104","Greek - ethnic category 2001 census (finding)","C"
"414152003","European (ethnic group)","C"
"718962008","Bulgarian Roma (ethnic group)","C"
"275600005","Greek Cypriot (NMO) (ethnic group)","C"
"45465003","Basques (ethnic group)","C"
"53460002","Serbs (ethnic group)","C"
"19434008","French (ethnic group)","C"
"56056003","Belgians (ethnic group)","C"
"976701000000100","White: any other white background - England and Wales ethnic category 2011 census ","C"
"186017004","Other European (NMO) (ethnic group)","C"
"7695005","Germans (ethnic group)","C"
"286009","Czech (ethnic group)","C"
"92561000000109","Northern Irish - ethnic category 2001 census (finding)","C"
"978011000000101","White: Polish - Scotland ethnic category 2011 census (finding)","C"
"85163001","Russians (ethnic group)","C"
"94001000000108","Croatian - ethnic category 2001 census (finding)","C"
"413773004","Caucasian (racial group)","C"
"88961000000104","Commonwealth of (Russian) Independent States - ethnic category 2001 census (finding)","C"
"1451003","Greeks (ethnic group)","C"
"718961001","Slovak Roma (ethnic group)","C"
"978041000000100","White: any other white ethnic group - Scotland ethnic category 2011 census ","C"
"88981000000108","Serbian - ethnic category 2001 census (finding)","C"
"28562006","Poles (ethnic group)","C"
"718959005","Czech Roma (ethnic group)","C"
"93941000000108","Greek Cypriot - ethnic category 2001 census (finding)","C"
"14045001","Caucasian (ethnic group)","C"
"32045009","Georgians (ethnic group)","C"
"81403004","Swedes (ethnic group)","C"
"733078003","Ukrainian (ethnic group)","C"
"28409002","Spaniards (ethnic group)","C"
"93981000000100","Kosovan - ethnic category 2001 census (finding)","C"
"36329002","Slovak (ethnic group)","C"
"10117001","Finns (ethnic group)","C"
"270466006","Greek/Greek Cypriot (NMO) (ethnic group)","C"
"718963003","Hungarian Roma (ethnic group)","C"
"92411000000108","Other White background - ethnic category 2001 census (finding)","C"
"17095009","Norwegians (ethnic group)","C"
"94031000000102","Other mixed White - ethnic category 2001 census (finding)","C"
"94021000000104","Mixed Irish and other White - ethnic category 2001 census (finding)","C"
"185984009","White - ethnic group (ethnic group)","C"
"735001008","Scandinavian (ethnic group)","C"
"976691000000100","White: any other White background - England and Wales ethnic category 2011 census (finding)","C"
"93991000000103","Bosnian - ethnic category 2001 census (finding)","C"
"445343003","Romanian (ethnic group)","C"
"978021000000107","White: Polish - Scotland ethnic category 2011 census ","C"
"80208004","Portuguese (ethnic group)","C"
"113169009","Armenians (ethnic group)","C"
"88951000000102","Baltic States (Estonian or Latvian or Lithuanian) - ethnic category 2001 census (finding)","C"
"88941000000100","Polish - ethnic category 2001 census (finding)","C"
"88971000000106","Albanian - ethnic category 2001 census (finding)","C"
"93961000000109","Italian - ethnic category 2001 census (finding)","C"
"160531006","Race: West indian (ethnic group)","M"
"978271000000103","Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census (finding)","M"
"978281000000101","Caribbean or Black: Caribbean, Caribbean Scottish or Caribbean British - Scotland ethnic category 2011 census ","M"
"275593008","Guyana (NMO) (ethnic group)","M"
"270460000","Black Caribbean/West India/Guyana (ethnic group)","M"
"275592003","West Indian (NMO) (ethnic group)","M"
"976911000000101","Black or African or Caribbean or Black British: Caribbean - England and Wales ethnic category 2011 census (finding)","M"
"270463003","Caribbean I./W.I./Guyana (NMO) (ethnic group)","M"
"977811000000105","Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census (finding)","M"
"976921000000107","Black or African or Caribbean or Black British : Caribbean - England and Wales ethnic category 2011 census (finding)","M"
"977821000000104","Black or African or Caribbean or Black British: Caribbean - Northern Ireland ethnic category 2011 census ","M"
"309643000","Black West Indian (ethnic group)","M"
"413465009","Afro-Caribbean (ethnic group)","M"
"978351000000104","Caribbean or Black: Black,  Black Scottish or  Black British - Scotland ethnic category 2011 census ","M"
"978341000000102","Caribbean or Black: Black, Black Scottish or Black British - Scotland ethnic category 2011 census (finding)","M"
"185988007","Black Caribbean (ethnic group)","M"
"309644006","Black Guyana (ethnic group)","M"
"275591005","Caribbean Island (NMO) (ethnic group)","M"
"107691000000105","Caribbean - ethnic category 2001 census (finding)","M"
"977851000000109","Other ethnic group: Arab - Northern Ireland ethnic category 2011 census (finding)","W"
"89001000000105","Arab - ethnic category 2001 census (finding)","W"
"978391000000107","Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census ","W"
"976961000000104","Other ethnic group: Arab - England and Wales ethnic category 2011 census ","W"
"976951000000102","Other ethnic group: Arab - England and Wales ethnic category 2011 census (finding)","W"
"90027003","Arabs (ethnic group)","W"
"977861000000107","Other ethnic group: Arab - Northern Ireland ethnic category 2011 census ","W"
"978381000000105","Other ethnic group: Arab, Arab Scottish or Arab British - Scotland ethnic category 2011 census (finding)","W"
"14999008","Welsh (ethnic group)","B"
"976661000000106","White: Irish - England and Wales ethnic category 2011 census ","B"
"92401000000106","Irish - ethnic category 2001 census (finding)","B"
"977961000000101","White: Irish - Scotland ethnic category 2011 census ","B"
"494171000000107","White Irish - ethnic category 2001 census ","B"
"315237009","White Irish (ethnic group)","B"
"186014006","Irish (NMO) (ethnic group)","B"
"494181000000109","White Irish - ethnic category 2001 census ","B"
"977951000000104","White: Irish - Scotland ethnic category 2011 census (finding)","B"
"494161000000100","White Irish - ethnic category 2001 census (finding)","B"
"976651000000108","White: Irish - England and Wales ethnic category 2011 census (finding)","B"
"976721000000109","Mixed multiple ethnic groups: white and black Caribbean - England and Wales ethnic category 2011 census ","D"
"977401000000106","Mixed multiple ethnic groups: white and black Caribbean - Northern Ireland ethnic category 2011 census ","D"
"977391000000108","Mixed multiple ethnic groups: White and Black Caribbean - Northern Ireland ethnic category 2011 census (finding)","D"
"92421000000102","White and Black Caribbean - ethnic category 2001 census (finding)","D"
"315634007","Black Caribbean and White (ethnic group)","D"
"976711000000103","Mixed multiple ethnic groups: White and Black Caribbean - England and Wales ethnic category 2011 census (finding)","D"
